,Intercept,cnt_deviation_0,cnt_deviation_4,div_21,div_26,div_55,div_59,SIC_bin_G,SIC_bin_CH,SIC_bin_BE,SIC_bin_AFIJ,pol_year_2008,pol_year_2009,pol_year_2010,pol_year_2011,wt_class_missing,wt_class_extra,wt_class_medium_heavy,predom_radius_missing,predom_radius_inter,predom_state_CA,predom_state_FL,predom_state_NJ,predom_state_NYIL,predom_state_TX,log_impute_exposure,log_fpct,log_legal_cnt_sum,log_medage,m_dnb,m_medage
Intercept,0.2961,-0.00399,-0.0005,-0.00184,-0.00089,-0.00059,0.000678,-0.00081,-0.00247,-0.00318,-0.00155,-0.00045,-0.00025,0.000158,-0.00082,-0.00008,0.000839,-0.00114,0.000906,0.000249,-0.00183,0.002569,0.001026,-0.00062,-0.00559,-0.00044,0.000108,-0.00044,-0.0795,-0.00193,-0.2881
cnt_deviation_0,-0.00399,0.005202,0.001677,0.000183,-0.0003,0.00005,-0.00000997,-0.00025,0.000024,-0.00016,0.000021,0.000121,0.000174,0.000114,0.000302,-0.00098,0.000267,0.000041,0.000279,0.000152,0.000117,0.000146,0.000246,0.000198,0.000256,0.000275,0.000016,0.000125,0.000184,0.000089,0.000031
cnt_deviation_4,-0.0005,0.001677,0.001973,0.000115,0.000049,-0.00007,0.000118,0.000023,0.000105,0.000015,0.000057,-0.00003,0.000037,0.000002442,0.000069,-0.0004,0.000097,-0.00007,0.000047,0.000052,0.000051,0.00012,-0.00007,0.000041,0.000031,0.000053,0.000008828,0.000049,-0.0004,0.000023,-0.00166
div_21,-0.00184,0.000183,0.000115,0.002361,0.000981,0.001207,0.001311,0.000224,0.000818,0.000427,0.000174,0.00015,9.746E-07,0.000124,-6.07E-08,0.000038,-0.00014,-0.0002,-0.00081,-0.00015,-0.00009,-0.00018,-0.00025,0.000006251,0.000026,0.000018,-0.00000428,0.000021,0.000096,0.000121,0.000208
div_26,-0.00089,-0.0003,0.000049,0.000981,0.004126,0.000837,0.000871,-0.00005,0.000154,-0.00024,-0.00006,-0.00013,-0.00023,-0.00011,-0.00001,0.000249,-0.00012,-0.00009,0.000043,-0.00042,0.00001,0.000109,0.00027,0.000347,-0.00082,0.000282,-0.00006,0.000105,-0.0003,0.000346,-0.00118
div_55,-0.00059,0.00005,-0.00007,0.001207,0.000837,0.01246,0.001217,0.000131,0.00091,0.000553,0.000192,0.000035,-0.00008,-0.00000589,-0.00042,-0.00048,-0.00005,0.000102,0.000024,0.000153,-0.00046,-0.00023,0.000155,-0.00018,0.00014,0.000064,-0.00000359,-0.00011,-0.00017,0.000106,-0.00072
div_59,0.000678,-0.00000997,0.000118,0.001311,0.000871,0.001217,0.005977,0.00004,0.001042,0.000625,0.000316,0.000137,0.000065,0.000183,0.000116,0.000293,0.000177,0.000054,-0.00072,-0.00011,-0.00025,-0.00024,-0.00042,0.000039,-0.00002,-0.00006,-0.00002,0.00000559,-0.00055,0.000315,-0.00195
SIC_bin_G,-0.00081,-0.00025,0.000023,0.000224,-0.00005,0.000131,0.00004,0.008712,0.002428,0.00242,0.002286,-0.00001,-0.00013,-0.00022,-0.0001,-0.00041,-0.00003,-0.00017,0.000538,-0.00029,0.000045,-0.00018,-0.00004,-0.00046,0.000044,-0.00014,0.000028,0.00003,-0.0003,0.000102,-0.00105
SIC_bin_CH,-0.00247,0.000024,0.000105,0.000818,0.000154,0.00091,0.001042,0.002428,0.004438,0.002556,0.002394,0.000104,0.000008956,0.000046,-0.00009,-0.00056,0.000213,0.000095,0.000531,0.000052,-0.00032,-0.00078,-0.0006,-0.00035,0.000018,-0.00009,0.000057,0.000024,-0.00008,-0.0001,-0.00049
SIC_bin_BE,-0.00318,-0.00016,0.000015,0.000427,-0.00024,0.000553,0.000625,0.00242,0.002556,0.004077,0.002373,0.000025,-0.00015,-0.00002,-0.00018,-0.0004,-0.00038,-0.00019,0.000617,-0.00017,0.000124,-0.00013,-0.00004,0.000137,-0.00006,-0.00012,0.000038,0.000065,0.000215,-0.00028,0.000597
