ZIP_CODE,DENSITY,sex_ratio,MEDAGE
501,0,NA,0
1001,1400.6,-0.119861165,45.2
1002,694.9,-0.046870458,23.3
1003,0,NA,0
1004,0,NA,0
1005,121.2,0.02952885,39.6
1007,281.4,-0.06100706,41
1008,27.4,0.05737234,45.9
1009,375.5,0.05286349,40.6
1010,107.4,-0.013345136,44.5
1011,35.3,0.034525869,45.9
1012,40.2,0.03434948,45.9
1013,3185.2,-0.12108959,36.4
1014,0,NA,0
1020,2179.7,-0.06748819,42.8
1021,0,NA,0
1022,2861.2,-0.050757163,37.2
1026,40.1,-0.010277583,47.2
1027,431.1,-0.102702428,43.6
1028,1180.7,-0.117360352,45
1029,49.7,0.102362013,48.3
1030,997.1,-0.043311516,43.1
1031,73.6,0.005763705,39.4
1032,63.7,-0.037457563,44.3
1033,225.9,-0.026173434,42.8
1034,26.2,0.00512165,45.8
1035,310.4,-0.060706797,29.7
1036,270.2,-0.055688906,46.8
1037,56,0.01166194,40.3
1038,247.9,-0.140041506,46.5
1039,171.8,-0.165612123,47.5
1040,1739.3,-0.124149232,35.1
1041,0,NA,0
1050,71,0.006303488,43.1
1053,214.7,-0.207720425,49.1
1054,88.6,-0.027816957,47.5
1056,777.9,0.052733305,42
1057,191.2,-0.038922587,43.2
1059,0,NA,0
1060,955.8,-0.386553661,34
1061,1870.6,-0.249215792,47.1
1062,660.2,-0.092361412,46.2
1063,0,NA,0
1066,0,NA,0
1068,93.9,0.013634191,43.4
1069,331.3,-0.01455983,42
1070,32.8,-0.012903405,47.3
1071,89.4,-0.026702159,40.6
1072,65.7,-0.090192294,45.5
1073,205.9,-0.069531305,44.4
1074,0,NA,0
1075,942.2,-0.358115348,39.7
1077,318.5,-0.01749916,43.3
1079,0,NA,0
1080,704.5,-0.053095361,40.9
1081,115.5,0.019868203,42.5
1082,265.4,-0.035182521,41.1
1083,0,NA,0
1084,39.6,0.035506688,46.6
1085,694.8,-0.043252072,37.9
1086,207.6,0.006674107,41.9
1088,142.1,0.016051709,48.3
1089,1438.5,-0.049771831,40.2
1090,0,NA,0
1092,270.9,-0.047252885,37.7
1093,0,NA,0
1094,0,NA,0
1095,631.3,-0.104756364,45.7
1096,57.1,-0.092342392,46.5
1098,28.6,-0.003853569,49.3
1101,0,NA,0
1102,2481.4,-0.693147181,40
1103,2257.9,-0.10278339,35.4
1104,5093.3,-0.096601969,34.9
1105,3809.3,-0.067407519,30.2
1106,1666.7,-0.131255158,45.4
1107,5891.4,-0.11313299,28.7
1108,7174.6,-0.089668044,31.5
1109,5069.5,-0.118449671,27.9
1111,0,NA,0
1115,1909.9,-0.101782694,36
1116,0,NA,0
1118,3734.5,-0.150700819,39.9
1119,3865.9,-0.091881527,31.8
1128,2339.9,-0.056989152,42.6
1129,2114.2,-0.101282976,40.9
1138,0,NA,0
1139,0,NA,0
1144,0,NA,0
