feature,coefficient
(Intercept),-2.073809
div_21,0.371532
div_26,-0.341048
div_55,0.324535
div_54,-0.147227
div_59,0.194869
div_82,0.000000
sic_bin_ab,-0.226395
sic_bin_cd,-0.390460
sic_bin_e,0.208185
sic_bin_g,0.123155
sic_bin_i,-0.070493
pol_year_080910,0.100390
wt_class_missing,-0.678805
wt_class_extra,0.554192
wt_class_medium_heavy,0.200329
wt_class_light,0.000000
predom_radius_long,-0.275092
predom_radius_missing,0.136561
predom_radius_local_inter,0.000000
predom_state_ca,0.076423
predom_state_nj,0.302184
predom_state_ny,0.204140
predom_state_il,0.238718
log_impute_exposure,0.733153
log_fpct,-0.044937
log_legal_cnt_sum,0.121763
log_density,0.049135
m_dnb,-0.164907
m_density,-0.187305
