state_group,limit,light_medium_ilf,heavy_ilf,extra_heavy_ilf,other_ilf
1,100000,1,1,1,1
1,150000,1.063,1.07,1.087,1.06
1,200000,1.127,1.14,1.173,1.12
1,250000,1.19,1.21,1.26,1.18
1,300000,1.23,1.26,1.32,1.22
1,350000,1.26,1.305,1.37,1.25
1,400000,1.29,1.35,1.42,1.28
1,450000,1.32,1.385,1.46,1.305
1,500000,1.35,1.42,1.5,1.33
1,550000,1.37,1.448,1.532,1.35
1,600000,1.39,1.476,1.564,1.37
1,650000,1.41,1.504,1.596,1.39
1,700000,1.43,1.532,1.628,1.41
1,750000,1.45,1.56,1.66,1.43
1,800000,1.464,1.58,1.682,1.444
1,850000,1.478,1.6,1.704,1.458
1,900000,1.492,1.62,1.726,1.472
1,950000,1.506,1.64,1.748,1.486
1,1000000,1.52,1.66,1.77,1.5
1,1100000,1.542,1.688,1.8,1.518
1,1200000,1.564,1.716,1.83,1.536
1,1300000,1.586,1.744,1.86,1.554
1,1400000,1.608,1.772,1.89,1.572
1,1500000,1.63,1.8,1.92,1.59
1,1600000,1.646,1.82,1.944,1.604
1,1700000,1.662,1.84,1.968,1.618
1,1800000,1.678,1.86,1.992,1.632
1,1900000,1.694,1.88,2.016,1.646
1,2000000,1.71,1.9,2.04,1.66
1,2100000,1.722,1.916,2.058,1.672
1,2200000,1.734,1.932,2.076,1.684
1,2300000,1.746,1.948,2.094,1.696
1,2400000,1.758,1.964,2.112,1.708
1,2500000,1.77,1.98,2.13,1.72
1,2600000,1.78,1.992,2.144,1.73
1,2700000,1.79,2.004,2.158,1.74
1,2800000,1.8,2.016,2.172,1.75
1,2900000,1.81,2.028,2.186,1.76
1,3000000,1.82,2.04,2.2,1.77
1,3100000,1.828,2.051,2.212,1.777
1,3200000,1.836,2.061,2.224,1.784
1,3300000,1.844,2.072,2.236,1.791
1,3400000,1.852,2.082,2.248,1.798
1,3500000,1.86,2.093,2.26,1.805
1,3600000,1.868,2.103,2.272,1.812
1,3700000,1.876,2.114,2.284,1.819
1,3800000,1.884,2.124,2.296,1.826
1,3900000,1.892,2.135,2.308,1.833
1,4000000,1.9,2.145,2.32,1.84
1,4100000,1.908,2.156,2.332,1.847
1,4200000,1.916,2.166,2.344,1.854
1,4300000,1.924,2.176,2.356,1.861
1,4400000,1.932,2.187,2.368,1.868
1,4500000,1.94,2.197,2.38,1.875
1,4600000,1.948,2.208,2.392,1.882
1,4700000,1.956,2.218,2.404,1.889
1,4800000,1.964,2.229,2.416,1.896
1,4900000,1.972,2.239,2.428,1.903
1,5000000,1.98,2.25,2.44,1.91
1,5100000,1.986,2.257,2.449,1.915
1,5200000,1.991,2.264,2.458,1.92
1,5300000,1.997,2.272,2.466,1.926
1,5400000,2.002,2.279,2.475,1.931
1,5500000,2.008,2.286,2.484,1.936
1,5600000,2.014,2.293,2.493,1.941
1,5700000,2.019,2.3,2.502,1.946
1,5800000,2.025,2.308,2.51,1.952
1,5900000,2.03,2.315,2.519,1.957
1,6000000,2.036,2.322,2.528,1.962
1,6100000,2.042,2.329,2.537,1.967
1,6200000,2.047,2.336,2.546,1.972
1,6300000,2.053,2.344,2.554,1.978
1,6400000,2.058,2.351,2.563,1.983
1,6500000,2.064,2.358,2.572,1.988
1,6600000,2.07,2.365,2.581,1.993
1,6700000,2.075,2.372,2.59,1.998
1,6800000,2.081,2.38,2.598,2.004
1,6900000,2.086,2.387,2.607,2.009
1,7000000,2.092,2.394,2.616,2.014
1,7100000,2.098,2.401,2.625,2.019
1,7200000,2.103,2.408,2.634,2.024
1,7300000,2.109,2.416,2.642,2.03
1,7400000,2.114,2.423,2.651,2.035
1,7500000,2.12,2.43,2.66,2.04
1,7600000,2.125,2.436,2.668,2.044
1,7700000,2.13,2.442,2.675,2.048
1,7800000,2.134,2.448,2.683,2.052
1,7900000,2.139,2.454,2.69,2.056
1,8000000,2.144,2.46,2.698,2.06
1,8100000,2.149,2.466,2.706,2.064
1,8200000,2.154,2.472,2.713,2.068
1,8300000,2.158,2.478,2.721,2.072
1,8400000,2.163,2.484,2.728,2.076
1,8500000,2.168,2.49,2.736,2.08
1,8600000,2.173,2.496,2.744,2.084
1,8700000,2.178,2.502,2.751,2.088
1,8800000,2.182,2.508,2.759,2.092
1,8900000,2.187,2.514,2.766,2.096
1,9000000,2.192,2.52,2.774,2.1
1,9100000,2.197,2.526,2.782,2.104
1,9200000,2.202,2.532,2.789,2.108
1,9300000,2.206,2.538,2.797,2.112
1,9400000,2.211,2.544,2.804,2.116
1,9500000,2.216,2.55,2.812,2.12
1,9600000,2.221,2.556,2.82,2.124
1,9700000,2.226,2.562,2.827,2.128
1,9800000,2.23,2.568,2.835,2.132
1,9900000,2.235,2.574,2.842,2.136
1,10000000,2.24,2.58,2.85,2.14
2,100000,1,1,1,1
2,150000,1.07,1.073,1.083,1.073
2,200000,1.14,1.147,1.167,1.147
2,250000,1.21,1.22,1.25,1.22
2,300000,1.26,1.27,1.31,1.27
2,350000,1.3,1.315,1.36,1.31
2,400000,1.34,1.36,1.41,1.35
2,450000,1.375,1.4,1.45,1.385
2,500000,1.41,1.44,1.49,1.42
2,550000,1.434,1.47,1.522,1.442
2,600000,1.458,1.5,1.554,1.464
2,650000,1.482,1.53,1.586,1.486
2,700000,1.506,1.56,1.618,1.508
2,750000,1.53,1.59,1.65,1.53
2,800000,1.546,1.612,1.676,1.548
2,850000,1.562,1.634,1.702,1.566
2,900000,1.578,1.656,1.728,1.584
2,950000,1.594,1.678,1.754,1.602
2,1000000,1.61,1.7,1.78,1.62
2,1100000,1.634,1.732,1.818,1.642
2,1200000,1.658,1.764,1.856,1.664
2,1300000,1.682,1.796,1.894,1.686
2,1400000,1.706,1.828,1.932,1.708
2,1500000,1.73,1.86,1.97,1.73
2,1600000,1.746,1.88,1.998,1.746
2,1700000,1.762,1.9,2.026,1.762
2,1800000,1.778,1.92,2.054,1.778
2,1900000,1.794,1.94,2.082,1.794
2,2000000,1.81,1.96,2.11,1.81
2,2100000,1.822,1.978,2.132,1.822
2,2200000,1.834,1.996,2.154,1.834
2,2300000,1.846,2.014,2.176,1.846
2,2400000,1.858,2.032,2.198,1.858
2,2500000,1.87,2.05,2.22,1.87
2,2600000,1.882,2.064,2.238,1.882
2,2700000,1.894,2.078,2.256,1.894
2,2800000,1.906,2.092,2.274,1.906
2,2900000,1.918,2.106,2.292,1.918
2,3000000,1.93,2.12,2.31,1.93
2,3100000,1.938,2.132,2.324,1.938
2,3200000,1.946,2.143,2.338,1.946
2,3300000,1.954,2.155,2.352,1.954
2,3400000,1.962,2.166,2.366,1.962
2,3500000,1.97,2.177,2.38,1.97
2,3600000,1.978,2.189,2.394,1.978
2,3700000,1.986,2.2,2.408,1.986
2,3800000,1.994,2.212,2.422,1.994
2,3900000,2.002,2.223,2.436,2.002
2,4000000,2.01,2.235,2.45,2.01
2,4100000,2.018,2.246,2.464,2.018
2,4200000,2.026,2.258,2.478,2.026
2,4300000,2.034,2.269,2.492,2.034
2,4400000,2.042,2.281,2.506,2.042
2,4500000,2.05,2.292,2.52,2.05
2,4600000,2.058,2.304,2.534,2.058
2,4700000,2.066,2.315,2.548,2.066
2,4800000,2.074,2.327,2.562,2.074
2,4900000,2.082,2.338,2.576,2.082
2,5000000,2.09,2.35,2.59,2.09
2,5100000,2.096,2.358,2.601,2.096
2,5200000,2.101,2.366,2.612,2.101
2,5300000,2.107,2.374,2.622,2.107
2,5400000,2.112,2.382,2.633,2.112
2,5500000,2.118,2.39,2.644,2.118
2,5600000,2.124,2.398,2.655,2.124
2,5700000,2.129,2.406,2.666,2.129
2,5800000,2.135,2.414,2.676,2.135
2,5900000,2.14,2.422,2.687,2.14
2,6000000,2.146,2.43,2.698,2.146
2,6100000,2.152,2.438,2.709,2.152
2,6200000,2.157,2.446,2.72,2.157
2,6300000,2.163,2.454,2.73,2.163
2,6400000,2.168,2.462,2.741,2.168
2,6500000,2.174,2.47,2.752,2.174
2,6600000,2.18,2.478,2.763,2.18
2,6700000,2.185,2.486,2.774,2.185
2,6800000,2.191,2.494,2.784,2.191
2,6900000,2.196,2.502,2.795,2.196
2,7000000,2.202,2.51,2.806,2.202
2,7100000,2.208,2.518,2.817,2.208
2,7200000,2.213,2.526,2.828,2.213
2,7300000,2.219,2.534,2.838,2.219
2,7400000,2.224,2.542,2.849,2.224
2,7500000,2.23,2.55,2.86,2.23
2,7600000,2.235,2.556,2.868,2.235
2,7700000,2.24,2.563,2.877,2.24
2,7800000,2.244,2.569,2.885,2.244
2,7900000,2.249,2.576,2.894,2.249
2,8000000,2.254,2.582,2.902,2.254
2,8100000,2.259,2.588,2.91,2.259
2,8200000,2.264,2.595,2.919,2.264
2,8300000,2.268,2.601,2.927,2.268
2,8400000,2.273,2.608,2.936,2.273
2,8500000,2.278,2.614,2.944,2.278
2,8600000,2.283,2.62,2.952,2.283
2,8700000,2.288,2.627,2.961,2.288
2,8800000,2.292,2.633,2.969,2.292
2,8900000,2.297,2.64,2.978,2.297
2,9000000,2.302,2.646,2.986,2.302
2,9100000,2.307,2.652,2.994,2.307
2,9200000,2.312,2.659,3.003,2.312
2,9300000,2.316,2.665,3.011,2.316
2,9400000,2.321,2.672,3.02,2.321
2,9500000,2.326,2.678,3.028,2.326
2,9600000,2.331,2.684,3.036,2.331
2,9700000,2.336,2.691,3.045,2.336
2,9800000,2.34,2.697,3.053,2.34
2,9900000,2.345,2.704,3.062,2.345
2,10000000,2.35,2.71,3.07,2.35
3,100000,1,1,1,1
3,150000,1.083,1.097,1.097,1.083
3,200000,1.167,1.193,1.193,1.167
3,250000,1.25,1.29,1.29,1.25
3,300000,1.3,1.35,1.36,1.31
3,350000,1.35,1.405,1.415,1.355
3,400000,1.4,1.46,1.47,1.4
3,450000,1.435,1.505,1.52,1.435
3,500000,1.47,1.55,1.57,1.47
3,550000,1.5,1.582,1.606,1.498
3,600000,1.53,1.614,1.642,1.526
3,650000,1.56,1.646,1.678,1.554
3,700000,1.59,1.678,1.714,1.582
3,750000,1.62,1.71,1.75,1.61
3,800000,1.64,1.734,1.774,1.628
3,850000,1.66,1.758,1.798,1.646
3,900000,1.68,1.782,1.822,1.664
3,950000,1.7,1.806,1.846,1.682
3,1000000,1.72,1.83,1.87,1.7
3,1100000,1.748,1.864,1.906,1.726
3,1200000,1.776,1.898,1.942,1.752
3,1300000,1.804,1.932,1.978,1.778
3,1400000,1.832,1.966,2.014,1.804
