feature,coefficient
(Intercept),9.739793
cnt_deviation_0,-0.157055
cnt_deviation_4,1.233162
div_21,0.096036
div_26,0.203861
div_55,-0.490941
div_59,0.094101
sic_bin_g,0.750744
sic_bin_ch,0.212622
sic_bin_be,0.941620
sic_bin_afij,0.439837
pol_year_2008,-0.294564
pol_year_2009,-0.313118
pol_year_2010,-0.249643
pol_year_2011,-0.115012
wt_class_missing,-0.441844
wt_class_extra,0.680265
wt_class_medium_heavy,0.301409
predom_radius_missing,-0.213281
predom_radius_inter,0.252877
predom_state_ca,0.091579
predom_state_fl,0.264385
predom_state_nj,0.361215
predom_state_nyil,0.520628
predom_state_tx,0.115333
log_impute_exposure,0.748715
log_fpct,-0.090919
log_legal_cnt_sum,0.102086
log_medage,-0.796013
m_dnb,0.135996
m_medage,-3.068318
