sic,sic_2,sic_class,sic_industry
111,1,A,"Agriculture, Forestry, And Fishing"
112,1,A,"Agriculture, Forestry, And Fishing"
115,1,A,"Agriculture, Forestry, And Fishing"
116,1,A,"Agriculture, Forestry, And Fishing"
119,1,A,"Agriculture, Forestry, And Fishing"
131,1,A,"Agriculture, Forestry, And Fishing"
132,1,A,"Agriculture, Forestry, And Fishing"
133,1,A,"Agriculture, Forestry, And Fishing"
134,1,A,"Agriculture, Forestry, And Fishing"
139,1,A,"Agriculture, Forestry, And Fishing"
161,1,A,"Agriculture, Forestry, And Fishing"
171,1,A,"Agriculture, Forestry, And Fishing"
172,1,A,"Agriculture, Forestry, And Fishing"
173,1,A,"Agriculture, Forestry, And Fishing"
174,1,A,"Agriculture, Forestry, And Fishing"
175,1,A,"Agriculture, Forestry, And Fishing"
179,1,A,"Agriculture, Forestry, And Fishing"
181,1,A,"Agriculture, Forestry, And Fishing"
182,1,A,"Agriculture, Forestry, And Fishing"
189,1,A,"Agriculture, Forestry, And Fishing"
191,1,A,"Agriculture, Forestry, And Fishing"
211,2,A,"Agriculture, Forestry, And Fishing"
212,2,A,"Agriculture, Forestry, And Fishing"
213,2,A,"Agriculture, Forestry, And Fishing"
214,2,A,"Agriculture, Forestry, And Fishing"
219,2,A,"Agriculture, Forestry, And Fishing"
241,2,A,"Agriculture, Forestry, And Fishing"
251,2,A,"Agriculture, Forestry, And Fishing"
252,2,A,"Agriculture, Forestry, And Fishing"
253,2,A,"Agriculture, Forestry, And Fishing"
254,2,A,"Agriculture, Forestry, And Fishing"
259,2,A,"Agriculture, Forestry, And Fishing"
271,2,A,"Agriculture, Forestry, And Fishing"
272,2,A,"Agriculture, Forestry, And Fishing"
273,2,A,"Agriculture, Forestry, And Fishing"
279,2,A,"Agriculture, Forestry, And Fishing"
291,2,A,"Agriculture, Forestry, And Fishing"
711,7,A,"Agriculture, Forestry, And Fishing"
721,7,A,"Agriculture, Forestry, And Fishing"
722,7,A,"Agriculture, Forestry, And Fishing"
723,7,A,"Agriculture, Forestry, And Fishing"
724,7,A,"Agriculture, Forestry, And Fishing"
729,7,A,"Agriculture, Forestry, And Fishing"
