lookup_key,state,class_code,final_rate,final_rate_uslh,clerical_ind
AK0005,AK,5,0.055094,0.0743769,0
AK0008,AK,8,0.071068,0.0959418,0
AK0016,AK,16,0.089324,0.1205874,0
AK0034,AK,34,0.10106,0.136431,0
AK0035,AK,35,0.047922,0.0646947,0
AK0036,AK,36,0.135127,0.18242145,0
AK0037,AK,37,0.089324,0.1205874,0
AK0042,AK,42,0.104809,0.14149215,0
AK0050,AK,50,0.089161,0.12036735,0
AK0059,AK,59,0.005542,0.0074817,0
AK0065,AK,65,0.001304,0.0017604,0
AK0066,AK,66,0.001304,0.0017604,0
AK0067,AK,67,0.001304,0.0017604,0
AK0079,AK,79,0.071068,0.0959418,0
AK0083,AK,83,0.135127,0.18242145,0
AK0106,AK,106,0.201957,0.27264195,0
AK0113,AK,113,0.10106,0.136431,0
AK0124,AK,124,0.140017,0.18902295,0
AK0156,AK,156,0.009128,0.0123228,0
AK0158,AK,158,0.027384,0.0369684,0
AK0170,AK,170,0.10106,0.136431,0
AK0251,AK,251,0.086064,0.1161864,0
AK0400,AK,400,0.15811,0.2134485,0
AK0401,AK,401,0.223147,0.30124845,0
AK0771,AK,771,0.010921,0.01474335,0
AK0908,AK,908,2.4124,3.25674,0
AK0909,AK,909,2.812,3.7962,0
AK0912,AK,912,10.2564,13.84614,0
AK0913,AK,913,8.5901,11.596635,0
AK0917,AK,917,0.089161,0.12036735,0
AK0930,AK,930,0.00026,0.000351,0
AK1005,AK,1005,0.066993,0.09044055,0
AK1016,AK,1016,0.182234,0.2460159,0
AK1164,AK,1164,0.083619,0.11288565,0
AK1165,AK,1165,0.051834,0.0699759,0
AK1320,AK,1320,0.016789,0.02266515,0
AK1322,AK,1322,0.095681,0.12916935,0
AK1430,AK,1430,0.113448,0.1531548,0
AK1438,AK,1438,0.093888,0.1267488,0
AK1452,AK,1452,0.031296,0.0422496,0
AK1463,AK,1463,0.241566,0.3261141,0
AK1472,AK,1472,0.090791,0.12256785,0
AK1624,AK,1624,0.064385,0.08691975,0
AK1642,AK,1642,0.061451,0.08295885,0
AK1654,AK,1654,0.160555,0.21674925,0
AK1655,AK,1655,0.05868,0.079218,0
AK1699,AK,1699,0.077099,0.10408365,0
AK1701,AK,1701,0.072372,0.0977022,0
AK1710,AK,1710,0.071557,0.09660195,0
AK1741,AK,1741,0.082152,0.1109052,0
AK1747,AK,1747,0.050204,0.0677754,0
AK1748,AK,1748,0.0978,0.13203,0
AK1803,AK,1803,0.204728,0.2763828,0
AK1852,AK,1852,0.063244,0.0853794,0
AK1853,AK,1853,0.050856,0.0686556,0
AK1860,AK,1860,0.061614,0.0831789,0
AK1924,AK,1924,0.038305,0.05171175,0
AK1925,AK,1925,0.071068,0.0959418,0
AK2001,AK,2001,0.06956,0.093906,0
AK2002,AK,2002,0.055094,0.0743769,0
AK2003,AK,2003,0.06846,0.092421,0
AK2014,AK,2014,0.102201,0.13797135,0
AK2016,AK,2016,0.048411,0.06535485,0
AK2021,AK,2021,0.064222,0.0866997,0
AK2030,AK,2030,0.134384,0.1814184,0
AK2039,AK,2039,0.055583,0.07503705,0
AK2041,AK,2041,0.052975,0.07151625,0
AK2065,AK,2065,0.056235,0.07591725,0
AK2070,AK,2070,0.088183,0.11904705,0
AK2081,AK,2081,0.068134,0.0919809,0
AK2089,AK,2089,0.131541,0.17758035,0
AK2095,AK,2095,0.113611,0.15337485,0
AK2101,AK,2101,0.038305,0.05171175,0
AK2104,AK,2104,0.105298,0.1421523,0
AK2105,AK,2105,0.078892,0.1065042,0
AK2110,AK,2110,0.047107,0.06359445,0
AK2111,AK,2111,0.053301,0.07195635,0
AK2112,AK,2112,0.07824,0.105624,0
AK2114,AK,2114,0.064059,0.08647965,0
AK2121,AK,2121,0.04727,0.0638145,0
AK2122,AK,2122,0.077262,0.1043037,0
AK2130,AK,2130,0.044662,0.0602937,0
AK2131,AK,2131,0.049389,0.06667515,0
AK2143,AK,2143,0.052975,0.07151625,0
AK2150,AK,2150,0.2491514,0.33635439,0
AK2156,AK,2156,0.16872,0.227772,0
AK2157,AK,2157,0.141973,0.19166355,0
AK2172,AK,2172,0.034393,0.04643055,0
AK2174,AK,2174,0.06683,0.0902205,0
AK2211,AK,2211,0.171802,0.2319327,0
AK2220,AK,2220,0.044662,0.0602937,0
AK2286,AK,2286,0.039446,0.0532521,0
AK2288,AK,2288,0.083782,0.1131057,0
AK2300,AK,2300,0.04564,0.061614,0
AK2302,AK,2302,0.038957,0.05259195,0
AK2305,AK,2305,0.041728,0.0563328,0
AK2361,AK,2361,0.041402,0.0558927,0
AK2362,AK,2362,0.029829,0.04026915,0
AK2380,AK,2380,0.0652,0.08802,0
AK2386,AK,2386,0.044825,0.06051375,0
AK2388,AK,2388,0.033578,0.0453303,0
AK2402,AK,2402,0.047107,0.06359445,0
AK2413,AK,2413,0.045966,0.0620541,0
AK2416,AK,2416,0.043847,0.05919345,0
AK2417,AK,2417,0.033252,0.0448902,0
