division,uslh_ind,state,avg_wcng_loss_ratio
21,0,AK,0.694529796
21,0,AL,0.777914662
21,0,AR,0.81148886
21,0,AZ,0.747355471
21,0,CA,0.695852522
21,0,CO,0.652016711
21,0,CT,0.758814507
21,0,DC,0.923140178
21,0,DE,0.744425047
21,0,FL,0.759488299
21,0,GA,0.693193721
21,0,HI,0.721371986
21,0,IA,0.745407216
21,0,ID,0.782687763
21,0,IL,0.70108083
21,0,IN,0.737946921
21,0,KS,0.759192529
21,0,KY,0.712175636
21,0,LA,0.720603198
21,0,MA,0.775712347
21,0,MD,0.736179868
21,0,ME,0.703087445
21,0,MI,0.753654199
21,0,MN,0.714750242
21,0,MO,0.699555612
21,0,MS,0.730432088
21,0,MT,0.731533129
21,0,NC,0.714790916
21,0,ND,0.730756286
21,0,NE,0.775479074
21,0,NH,0.733105002
21,0,NJ,0.714784102
21,0,NM,0.842816023
21,0,NV,0.756322524
21,0,NY,0.698293281
21,0,OH,0.742901324
21,0,OK,0.72080222
21,0,OR,0.784031731
21,0,PA,0.712692023
21,0,RI,0.759639709
21,0,SC,0.722097457
21,0,SD,0.647202276
21,0,TN,0.792533607
21,0,TX,0.711107889
21,0,UT,0.767736688
21,0,VA,0.785266688
21,0,VT,0.808217984
21,0,WA,0.688719954
21,0,WI,0.784320121
21,0,WV,0.681133817
21,0,WY,0.730854857
26,0,AK,0.776810556
26,0,AL,0.81361951
26,0,AR,0.789783846
26,0,AZ,0.764094745
26,0,CA,0.740600896
26,0,CO,0.748573644
26,0,CT,0.807513218
26,0,DC,0.934797166
26,0,DE,0.674782139
26,0,FL,0.756229717
26,0,GA,0.754049441
26,0,HI,0.640110086
26,0,IA,0.739880766
26,0,ID,0.768384995
26,0,IL,0.763256037
26,0,IN,0.820851145
26,0,KS,0.761453772
26,0,KY,0.754862415
26,0,LA,0.765193701
26,0,MA,0.763547575
26,0,MD,0.783729984
26,0,ME,0.711368453
26,0,MI,0.758517741
26,0,MN,0.78028825
26,0,MO,0.847435961
26,0,MS,0.766627012
26,0,MT,0.790832863
26,0,NC,0.780800914
26,0,ND,0.758641714
26,0,NE,0.685295289
26,0,NH,0.720862592
26,0,NJ,0.759126966
26,0,NM,0.804008773
26,0,NV,0.776998753
26,0,NY,0.776798985
26,0,OH,0.738947747
26,0,OK,0.766564077
26,0,OR,0.836679038
26,0,PA,0.77008405
26,0,RI,0.834938446
26,0,SC,0.805792234
26,0,SD,0.781272481
26,0,TN,0.806917188
26,0,TX,0.767320615
26,0,UT,0.770188717
26,0,VA,0.739948377
26,0,VT,0.722181939
26,0,WA,0.737683528
26,0,WI,0.787106802
26,0,WV,0.78309871
26,0,WY,0.743287723
27,0,AR,0.760112283
27,0,AZ,0.766072278
27,0,CA,0.706041998
27,0,CO,0.760112283
27,0,CT,
27,0,FL,0.813505653
27,0,GA,1.011188835
27,0,IA,
